Date,Ticker,5_Days_Before,4_Days_Before,3_Days_Before,2_Days_Before,1_Day_Before,Day_Of,1_Day_After
2023-11-01,NVDA,405.0,405.0,405.0,411.61,407.8,423.25,435.06
2021-04-01,SOFI,17.1,17.1,16.44,16.5,17.15,17.27,16.72
2021-07-01,SOFI,18.5,18.5,19.26,18.87,19.17,18.25,18.08
2021-10-01,SOFI,17.64,17.7,17.04,16.01,15.88,16.45,16.09
2022-01-01,SOFI,15.39,14.85,14.47,15.95,15.81,15.68,15.68
2022-04-01,SOFI,9.01,9.25,10.14,9.77,9.45,9.33,9.77
2022-07-01,SOFI,6.13,5.93,5.56,5.54,5.27,5.41,5.84
2022-10-01,SOFI,5.08,5.08,5.25,4.84,4.88,5.13,5.13
2023-01-01,SOFI,4.39,4.37,4.59,4.61,4.61,4.5,4.5
2023-04-01,SOFI,5.76,5.59,5.75,5.72,6.07,6.03,6.03
2023-07-01,SOFI,8.2,8.64,8.87,8.71,8.34,8.52,8.52
2023-10-01,SOFI,7.4,7.6,7.77,7.99,7.99,7.84,7.84
2018-11-01,MARA,2.64,2.64,2.32,2.36,2.36,2.56,2.64
2019-02-01,MARA,1.52,1.48,1.44,1.4,1.36,1.36,1.88
2019-05-01,MARA,2.74,2.74,2.74,2.86,2.95,2.83,2.93
2019-08-01,MARA,2.12,2.12,2.11,2.17,2.09,2.06,2.1
2019-11-01,MARA,1.54,1.56,1.48,1.39,1.35,1.38,1.42
2020-02-01,MARA,0.95,1.01,0.99,1.07,1.04,1.02,1.02
2020-05-01,MARA,0.47,0.46,0.44,0.48,0.45,0.44,0.43
2020-08-01,MARA,1.42,1.71,1.82,1.78,2.03,3.83,3.83
2020-11-01,MARA,2.76,2.35,2.28,2.16,2.16,2.1,2.1
2021-02-01,MARA,17.65,19.9,20.74,20.74,20.74,20.74,22.74
2021-05-01,MARA,34.14,34.12,37.64,34.26,36.78,36.22,36.22
2021-08-01,MARA,27.02,28.16,27.48,27.63,27.63,28.23,28.23
2021-11-01,MARA,50.04,50.39,52.24,52.24,52.24,55.51,63.34
2022-02-01,MARA,19.79,21.97,21.97,21.97,23.54,25.03,23.02
2022-05-01,MARA,17.1,16.72,16.86,15.6,15.6,16.66,16.66
2022-08-01,MARA,12.32,13.2,12.99,12.99,12.99,12.27,12.96
2022-11-01,MARA,13.65,13.85,13.85,13.85,13.11,12.22,10.92
2023-02-01,MARA,8.02,8.02,8.02,7.17,7.21,7.52,8.0
2023-05-01,MARA,9.46,10.06,10.07,10.07,10.07,8.78,9.55
2023-08-01,MARA,15.97,16.7,16.7,16.7,17.37,16.83,16.48
2023-11-01,MARA,8.86,8.86,8.86,8.85,8.81,8.92,9.86
2018-11-01,AAL,32.46,32.46,32.6,34.66,35.08,36.37,36.33
2019-02-01,AAL,34.98,36.57,36.29,36.34,35.77,36.11,36.78
2019-05-01,AAL,33.06,33.06,33.06,33.77,34.18,33.91,33.95
2019-08-01,AAL,31.24,31.24,30.74,30.71,30.51,29.84,29.45
2019-11-01,AAL,30.86,31.36,30.92,30.29,30.06,30.56,30.95
2020-02-01,AAL,26.11,26.9,26.8,27.72,26.84,27.16,27.16
2020-05-01,AAL,10.31,10.02,11.26,12.63,12.01,10.64,9.82
2020-08-01,AAL,11.39,11.77,11.4,11.18,11.12,11.08,11.08
2020-11-01,AAL,11.23,10.95,11.16,11.28,11.28,11.19,11.19
2021-02-01,AAL,16.56,18.1,17.17,17.17,17.17,16.84,16.59
2021-05-01,AAL,22.04,21.76,21.7,21.3,21.72,21.95,21.95
2021-08-01,AAL,21.46,21.63,21.17,20.38,20.38,20.06,20.06
2021-11-01,AAL,19.03,19.19,19.2,19.2,19.2,19.77,19.83
2022-02-01,AAL,15.78,15.64,15.64,15.64,16.47,16.83,16.96
2022-05-01,AAL,18.77,18.97,19.43,18.77,18.77,18.56,18.56
2022-08-01,AAL,13.97,13.76,13.71,13.71,13.71,14.28,14.06
2022-11-01,AAL,13.97,14.0,14.0,14.0,14.18,14.11,13.58
2023-02-01,AAL,16.43,16.43,16.43,15.96,16.14,16.69,17.06
2023-05-01,AAL,12.74,12.88,13.64,13.64,13.64,13.89,13.77
2023-08-01,AAL,16.57,16.79,16.79,16.79,16.75,16.23,15.95
2023-11-01,AAL,10.92,10.92,10.92,11.18,11.15,11.14,11.4
2018-11-01,PFE,40.42,40.42,41.02,40.69,40.85,41.43,40.73
2019-02-01,PFE,38.56,37.5,38.68,39.45,40.28,40.68,40.27
2019-05-01,PFE,37.92,37.92,37.92,37.56,38.53,38.68,38.91
2019-08-01,PFE,40.88,40.88,39.33,36.8,36.85,36.29,36.05
2019-11-01,PFE,34.89,35.37,36.25,36.51,36.4,36.42,36.08
2020-02-01,PFE,38.1,36.19,35.65,35.17,35.33,35.59,35.59
2020-05-01,PFE,35.46,36.37,35.97,36.17,36.39,35.71,35.69
2020-08-01,PFE,35.62,37.02,37.25,36.76,36.51,36.39,36.39
2020-11-01,PFE,35.51,33.63,33.47,33.66,33.66,34.37,34.37
2021-02-01,PFE,36.24,35.86,35.9,35.9,35.9,35.8,34.99
2021-05-01,PFE,38.68,38.45,38.81,38.6,38.65,39.83,39.83
2021-08-01,PFE,42.1,43.45,42.79,42.81,42.81,43.96,43.96
2021-11-01,PFE,42.97,43.18,43.74,43.74,43.74,43.64,45.45
2022-02-01,PFE,53.37,54.33,54.33,54.33,52.69,53.07,53.86
2022-05-01,PFE,49.03,49.74,50.51,49.07,49.07,48.34,48.34
2022-08-01,PFE,51.95,50.72,50.51,50.51,50.51,50.61,49.69
2022-11-01,PFE,45.74,47.43,47.43,47.43,46.55,48.01,47.07
2023-02-01,PFE,43.79,43.79,43.79,43.55,44.16,43.97,44.34
2023-05-01,PFE,38.63,38.74,38.89,38.89,38.89,39.21,39.06
2023-08-01,PFE,36.2,36.07,36.07,36.07,36.06,35.61,35.35
2023-11-01,PFE,30.11,30.11,30.11,30.55,30.56,30.51,30.5
2020-12-01,LCID,9.76,9.83,9.83,9.83,9.88,9.88,9.87
2021-03-01,LCID,28.7,27.82,30.75,30.75,30.75,30.63,27.77
2021-06-01,LCID,19.88,19.72,19.72,19.72,19.72,21.56,23.56
2021-09-01,LCID,21.03,21.03,21.03,20.63,19.96,17.79,18.66
2021-12-01,LCID,51.72,51.72,51.72,55.06,52.98,51.14,48.41
2022-03-01,LCID,25.28,26.35,26.35,26.35,28.98,24.99,24.58
2022-06-01,LCID,19.83,19.83,19.83,19.83,20.18,19.5,19.96
2022-09-01,LCID,16.24,16.24,16.17,15.15,15.34,15.38,15.16
2022-12-01,LCID,10.02,10.02,9.85,9.76,10.14,9.83,10.15
2023-03-01,LCID,8.51,8.51,8.51,8.76,9.13,8.62,8.53
2023-06-01,LCID,7.87,7.87,7.87,7.71,7.76,6.5,6.6
2023-09-01,LCID,6.02,6.15,6.33,6.36,6.28,6.36,6.3
2023-11-14,LCID,3.76,3.8,3.8,3.8,3.97,4.17,4.22
